 處理範圍: 1000 ~ 1500 (共 500 users)
ba80991 -> 44 outfits | ⏱ 15.34s | avg 15.34s                             
toku777 -> 87 outfits | ⏱ 29.72s | avg 22.53s                             
tachioka9 -> 76 outfits | ⏱ 126.19s | avg 57.08s                          
yama0029 -> 56 outfits | ⏱ 18.70s | avg 47.49s                            
kenken9210 -> 2 outfits | ⏱ 2.37s | avg 38.46s                            
axes_staff_hana -> 173 outfits | ⏱ 155.77s | avg 58.02s                   
ms890768 -> 249 outfits | ⏱ 151.37s | avg 71.35s                          
sachii0123 -> 610 outfits | ⏱ 456.86s | avg 119.54s                       
mei129 -> 44 outfits | ⏱ 121.66s | avg 119.78s                            
yuiko17 -> 82 outfits | ⏱ 51.31s | avg 112.93s                            
yukari1018 -> 242 outfits | ⏱ 147.54s | avg 116.08s                       
etudesnap -> 636 outfits | ⏱ 452.97s | avg 144.15s                        
mariyagi310 -> 0 outfits | ⏱ 1.92s | avg 133.21s                                            
mmchan115 -> 178 outfits | ⏱ 203.34s | avg 138.22s                                          
ms10612 -> 139 outfits | ⏱ 180.88s | avg 141.06s                                            
kota08241995 -> 456 outfits | ⏱ 348.39s | avg 154.02s                                       
teriyaki23 -> 0 outfits | ⏱ 1.83s | avg 145.07s                                             
taniaih -> 181 outfits | ⏱ 110.79s | avg 143.16s                                            
taki15nol -> 136 outfits | ⏱ 179.11s | avg 145.06s                                          
em0410 -> 46 outfits | ⏱ 29.01s | avg 139.25s                                               
sarasarasa32 -> 46 outfits | ⏱ 122.76s | avg 138.47s                                        
acacia317 -> 105 outfits | ⏱ 62.85s | avg 135.03s                                           
ships9503won -> 517 outfits | ⏱ 405.20s | avg 146.78s                                       
nakamiyu325 -> 49 outfits | ⏱ 127.23s | avg 145.96s                                         
tomita817 -> 351 outfits | ⏱ 223.51s | avg 149.07s                                          
ohn0932oogg -> 281 outfits | ⏱ 264.62s | avg 153.51s                                        
senao9 -> 179 outfits | ⏱ 204.10s | avg 155.38s                                             
hiroannko -> 364 outfits | ⏱ 224.02s | avg 157.83s                                          
yaestaff -> 70 outfits | ⏱ 136.53s | avg 157.10s                                            
popopo08 -> 125 outfits | ⏱ 82.50s | avg 154.61s                                            
33aay -> 38 outfits | ⏱ 116.39s | avg 153.38s                                               
ms09729 -> 415 outfits | ⏱ 337.03s | avg 159.12s                                            
cozue52 -> 144 outfits | ⏱ 89.34s | avg 157.00s                                             
0000056 -> 753 outfits | ⏱ 547.71s | avg 168.50s                                            
ms10391 -> 368 outfits | ⏱ 322.23s | avg 172.89s                                            
miki3c -> 56 outfits | ⏱ 132.02s | avg 171.75s                                              
pitakageee -> 378 outfits | ⏱ 235.01s | avg 173.46s                                         
kk0125 -> 118 outfits | ⏱ 167.40s | avg 173.30s                                             
mtdr81 -> 511 outfits | ⏱ 316.36s | avg 176.97s                                             
shinnosuke_diesel -> 34 outfits | ⏱ 22.28s | avg 173.10s                                    
nainsagen -> 205 outfits | ⏱ 128.65s | avg 172.02s                                          
waka12300 -> 102 outfits | ⏱ 159.80s | avg 171.73s                                          
ggchika -> 116 outfits | ⏱ 168.70s | avg 171.66s                                            
nozomi2lepsim -> 127 outfits | ⏱ 171.80s | avg 171.66s                                      
ur25yuki -> 570 outfits | ⏱ 358.44s | avg 175.81s                                           
arichunnn -> 854 outfits | ⏱ 527.37s | avg 183.46s                                          
rinpy12 -> 435 outfits | ⏱ 274.40s | avg 185.39s                                            
shimizuyuuta -> 108 outfits | ⏱ 66.90s | avg 182.92s                                        
kotopiiiano -> 166 outfits | ⏱ 102.62s | avg 181.28s                                        
erk125 -> 408 outfits | ⏱ 264.00s | avg 182.94s                                             
manami4435 -> 33 outfits | ⏱ 115.04s | avg 181.61s                                          
culuminakada -> 7 outfits | ⏱ 5.78s | avg 178.22s                                           
nb0615 -> 115 outfits | ⏱ 164.80s | avg 177.97s                                             
ayukifuku -> 349 outfits | ⏱ 318.57s | avg 180.57s                                          
Users:  11%|████▍                     ❌ download fail: https://images.wear2.jp/coordinate/5EiD7aor/g0jmUVfE/1774778718_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
suguru19850317 -> 235 outfits | ⏱ 158.30s | avg 180.17s                                     
twoofusluvvvv -> 366 outfits | ⏱ 239.41s | avg 181.23s                                      
jsminkaho0221 -> 105 outfits | ⏱ 157.75s | avg 180.82s                                      
hsaya26t -> 324 outfits | ⏱ 205.54s | avg 181.24s                                           
amam1210 -> 182 outfits | ⏱ 114.03s | avg 180.10s                                           
yamayama113 -> 168 outfits | ⏱ 102.24s | avg 178.80s                                        
002710ir -> 145 outfits | ⏱ 84.51s | avg 177.26s                                            
szzkhr -> 377 outfits | ⏱ 329.76s | avg 179.72s                                             
cosmos03 -> 92 outfits | ⏱ 163.23s | avg 179.46s                                            
seokjin339 -> 34 outfits | ⏱ 19.77s | avg 176.96s                                           
adiler -> 11 outfits | ⏱ 8.08s | avg 174.36s                                                
ixm22 -> 6 outfits | ⏱ 5.11s | avg 171.80s                                                  
natsuki6310 -> 218 outfits | ⏱ 227.27s | avg 172.63s                                        
nicemiyu -> 86 outfits | ⏱ 51.69s | avg 170.85s                                             
rengerenge -> 429 outfits | ⏱ 282.08s | avg 172.46s                                         
canalyuki -> 238 outfits | ⏱ 148.22s | avg 172.11s                                          
nori0507 -> 143 outfits | ⏱ 185.79s | avg 172.31s                                           
naok111111 -> 108 outfits | ⏱ 65.48s | avg 170.82s                                          
pon913 -> 11 outfits | ⏱ 7.53s | avg 168.59s                                                
melodious -> 97 outfits | ⏱ 61.10s | avg 167.13s                                            
130112 -> 22 outfits | ⏱ 14.54s | avg 165.10s                                               
hiroyuki -> 289 outfits | ⏱ 178.13s | avg 165.27s                                           
Users:  15%|██████▍                             ❌ download fail: https://images.wear2.jp/coordinate/qriJj7mP/Aqnpc8on/1719364119_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
sora111love -> 743 outfits | ⏱ 514.26s | avg 169.80s                                        
susan925 -> 716 outfits | ⏱ 426.32s | avg 173.09s                                           
Users:  16%|██████▍                         ❌ download fail: https://images.wear2.jp/coordinate/V7ipWoaj/YzdfpjhX/1729430295_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
juns2nc -> 308 outfits | ⏱ 319.84s | avg 174.95s                                            
hnn009 -> 0 outfits | ⏱ 1.86s | avg 172.79s                                                 
yuzu93 -> 277 outfits | ⏱ 182.35s | avg 172.90s                                             
coen9074100919 -> 74 outfits | ⏱ 49.72s | avg 171.40s                                       
sena15maru -> 53 outfits | ⏱ 33.75s | avg 169.74s                                           
zly0924 -> 286 outfits | ⏱ 178.74s | avg 169.85s                                            
ms10160 -> 125 outfits | ⏱ 80.79s | avg 168.80s                                             
eclair17 -> 24 outfits | ⏱ 15.89s | avg 167.02s                                             
herliptoofficial -> 84 outfits | ⏱ 155.54s | avg 166.89s                                    
kijhrt -> 4 outfits | ⏱ 4.21s | avg 165.04s                                                 
Users:  18%|███████▌                          ❌ download fail: https://images.wear2.jp/coordinate/ROiGx6/Quz2Dz3X/1721373269_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
❌ download fail: https://images.wear2.jp/coordinate/ROiGx6/RRSNFlhi/1718454649_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
chiii1008 -> 360 outfits | ⏱ 253.88s | avg 166.04s                                          
3a8n -> 108 outfits | ⏱ 66.60s | avg 164.94s                                                
amim1 -> 69 outfits | ⏱ 145.08s | avg 164.72s                                               
gwkazuo -> 630 outfits | ⏱ 481.51s | avg 168.16s                                            
Users:  18%|███████▌                  ❌ download fail: https://images.wear2.jp/coordinate/wni4vd8a/QP6z5vd7/1774500117_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
axes_staff_ari -> 468 outfits | ⏱ 386.03s | avg 170.50s                                     
tanevo -> 67 outfits | ⏱ 143.89s | avg 170.22s                                              
kurt23 -> 18 outfits | ⏱ 14.05s | avg 168.58s                                               
SC0448 -> 4 outfits | ⏱ 4.26s | avg 166.87s                                                 
yktkhs1120 -> 123 outfits | ⏱ 73.60s | avg 165.90s                                          
