🚀 處理範圍: 2000 ~ 2500 (共 500 users)
                                                                                            risakkuma0723 -> 795 outfits | ⏱ 542.06s | avg 542.06s      
hainaaaaa -> 48 outfits | ⏱ 129.41s | avg 335.74s                                           
akr20011202 -> 437 outfits | ⏱ 364.30s | avg 345.26s                                        
desigual74 -> 312 outfits | ⏱ 283.74s | avg 329.88s                                         
tashikanianpan -> 0 outfits | ⏱ 1.95s | avg 264.29s                                         
tele7042 -> 107 outfits | ⏱ 63.50s | avg 230.83s                                            
yurikonakatani -> 0 outfits | ⏱ 1.97s | avg 198.13s                                         
ainishijo -> 197 outfits | ⏱ 119.87s | avg 188.35s                                          
ms10445 -> 383 outfits | ⏱ 323.17s | avg 203.33s                                            
anpiiiii -> 40 outfits | ⏱ 25.58s | avg 185.56s                                             
chocotohana -> 210 outfits | ⏱ 223.26s | avg 188.98s                                        
aichanbn7 -> 246 outfits | ⏱ 255.17s | avg 194.50s                                          
panoramaworld -> 314 outfits | ⏱ 198.02s | avg 194.77s                                      
hrkssk1224 -> 61 outfits | ⏱ 141.39s | avg 190.96s                                          
higashiura -> 26 outfits | ⏱ 16.68s | avg 179.34s                                           
0331miyu -> 107 outfits | ⏱ 68.38s | avg 172.40s                                            
kipa0930 -> 172 outfits | ⏱ 109.98s | avg 168.73s                                           
hiroki059 -> 415 outfits | ⏱ 272.85s | avg 174.52s                                          
adimotina -> 271 outfits | ⏱ 167.27s | avg 174.13s                                          
adiiinmao -> 115 outfits | ⏱ 174.06s | avg 174.13s                                          
ms08292 -> 90 outfits | ⏱ 55.03s | avg 168.46s                                              
Users:   4%|█▊                  ❌ download fail: https://images.wear2.jp/coordinate/WjiQl6kg/90racqYr/1766564652_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
                                            ❌ download fail: https://images.wear2.jp/coordinate/WjiQl6kg/fVEoqIFB/1769506967_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
naka7474 -> 390 outfits | ⏱ 261.37s | avg 172.68s                                           
adiakito -> 53 outfits | ⏱ 134.98s | avg 171.04s                                            
say04 -> 251 outfits | ⏱ 235.29s | avg 173.72s                                              
hitomi331 -> 162 outfits | ⏱ 107.53s | avg 171.07s                                          
adiayaoto -> 69 outfits | ⏱ 145.96s | avg 170.11s                                           
ms11315 -> 41 outfits | ⏱ 126.18s | avg 168.48s                                             
erieri1002 -> 392 outfits | ⏱ 333.72s | avg 174.38s                                         
ms10337 -> 219 outfits | ⏱ 237.85s | avg 176.57s                                            
ririchanchan1 -> 49 outfits | ⏱ 127.48s | avg 174.93s                                       
ms980012 -> 72 outfits | ⏱ 146.62s | avg 174.02s                                            
ruru0710 -> 262 outfits | ⏱ 249.29s | avg 176.37s                                           
kiwa1108 -> 43 outfits | ⏱ 126.91s | avg 174.87s                                            
tjmwgdpw -> 32 outfits | ⏱ 118.88s | avg 173.23s                                            
kazue0506 -> 110 outfits | ⏱ 169.70s | avg 173.13s                                          
anpy0519 -> 11 outfits | ⏱ 8.18s | avg 168.54s                                              
msize156 -> 43 outfits | ⏱ 24.69s | avg 164.66s                                             
taigen18 -> 86 outfits | ⏱ 154.78s | avg 164.40s                                            
0930ms -> 122 outfits | ⏱ 81.54s | avg 162.27s                                              
ax_hwqa00 -> 219 outfits | ⏱ 249.27s | avg 164.45s                                          
mikiphant -> 114 outfits | ⏱ 169.55s | avg 164.57s                                          
okamotoy -> 248 outfits | ⏱ 257.11s | avg 166.77s                                           
chisamaruru -> 411 outfits | ⏱ 256.31s | avg 168.86s                                        
ren0504 -> 598 outfits | ⏱ 452.35s | avg 175.30s                                            
kyomoto1106 -> 122 outfits | ⏱ 78.31s | avg 173.14s                                         
robertbaba -> 85 outfits | ⏱ 49.87s | avg 170.46s                                           
shwear622 -> 151 outfits | ⏱ 192.12s | avg 170.93s                                          
embrayons0129 -> 82 outfits | ⏱ 152.45s | avg 170.54s                                       
nagase0810 -> 823 outfits | ⏱ 612.46s | avg 179.56s                                         
ms10641 -> 64 outfits | ⏱ 153.79s | avg 179.04s                                             
ms11098 -> 78 outfits | ⏱ 149.97s | avg 178.47s                                             
fukmo2525 -> 157 outfits | ⏱ 192.00s | avg 178.73s                                          
rurunruuu -> 382 outfits | ⏱ 248.04s | avg 180.04s                                          
midori79 -> 199 outfits | ⏱ 223.22s | avg 180.84s                                           
yutsuki1008 -> 61 outfits | ⏱ 147.68s | avg 180.24s                                         
xoenumu -> 135 outfits | ⏱ 178.75s | avg 180.21s                                            
ktofc -> 210 outfits | ⏱ 137.87s | avg 179.47s                                              
ms10987 -> 403 outfits | ⏱ 336.85s | avg 182.18s                                            
mgmymd -> 229 outfits | ⏱ 148.15s | avg 181.61s                                             
yuanjp -> 133 outfits | ⏱ 187.04s | avg 181.70s                                             
                                                                                                                                                                                        ms10603 -> 136 outfits | ⏱ 187.42s | avg 181.79s
nailspice -> 308 outfits | ⏱ 196.49s | avg 182.03s                                          
natural_couture -> 0 outfits | ⏱ 1.85s | avg 179.17s                                        
andoui513 -> 0 outfits | ⏱ 1.81s | avg 176.40s                                              
mocororo -> 3 outfits | ⏱ 3.78s | avg 173.74s                                               
Users:  13%|█████▌                           ❌ download fail: https://images.wear2.jp/coordinate/vdi3MPX8/dAzUV1Kb/1688143028_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
                                             ❌ download fail: https://images.wear2.jp/coordinate/vdi3MPX8/7HwHZ59z/1678151715_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
rknlovex -> 569 outfits | ⏱ 438.40s | avg 177.75s                                           
ogrin4 -> 57 outfits | ⏱ 141.20s | avg 177.21s                                              
238542 -> 226 outfits | ⏱ 136.63s | avg 176.61s                                             
nafusynchroniz -> 48 outfits | ⏱ 133.09s | avg 175.98s                                      
perkmagazine -> 0 outfits | ⏱ 1.93s | avg 173.49s                                           
sdi310eri -> 293 outfits | ⏱ 314.69s | avg 175.48s                                          
masash -> 387 outfits | ⏱ 243.84s | avg 176.43s                                             
shuya240 -> 80 outfits | ⏱ 54.47s | avg 174.76s                                             
manasb001waec -> 156 outfits | ⏱ 201.77s | avg 175.12s                                      
rolladex_staff62 -> 54 outfits | ⏱ 33.95s | avg 173.24s                                     
tsubomi0901 -> 128 outfits | ⏱ 177.93s | avg 173.30s                                        
spick225 -> 24 outfits | ⏱ 15.01s | avg 171.25s                                             
Users:  15%|██████▎                           ❌ download fail: https://images.wear2.jp/coordinate/7biB5V7k/FWCVpUYf/1752636704_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
