🚀 處理範圍: 3000 ~ 3500 (共 500 users)
                                                                                                                                      hachan123 -> 43 outfits | ⏱ 123.16s | avg 123.16s
10021002bb -> 85 outfits | ⏱ 57.85s | avg 90.51s                   
yuka1913 -> 504 outfits | ⏱ 329.39s | avg 170.13s                                                             
ymmmk -> 0 outfits | ⏱ 2.11s | avg 128.13s                                                                                                                                
maomao99724 -> 178 outfits | ⏱ 226.10s | avg 147.72s                                                                                                                      
kid007 -> 0 outfits | ⏱ 1.92s | avg 123.42s                                                                                                                               
thedress -> 137 outfits | ⏱ 87.07s | avg 118.23s                                                                                                                          
ebalemage -> 97 outfits | ⏱ 169.80s | avg 124.67s                                                                                                                         
some8kei -> 2 outfits | ⏱ 3.16s | avg 111.17s                                                                                                                             
iamsion -> 0 outfits | ⏱ 1.85s | avg 100.24s                                                                                                                              
rinita -> 0 outfits | ⏱ 1.85s | avg 91.30s                                                                                                                                
windew -> 0 outfits | ⏱ 1.92s | avg 83.85s                                                                                                                                
anceddy -> 0 outfits | ⏱ 1.93s | avg 77.55s    
