keisukesauna -> 482 outfits | ⏱ 260.16s | avg 260.16s                                                                                                             
sakuraiyota -> 324 outfits | ⏱ 256.55s | avg 258.35s                                                                                                              
showwwear -> 316 outfits | ⏱ 136.27s | avg 217.66s                                                                                                                
fsn2525 -> 231 outfits | ⏱ 196.27s | avg 212.31s                                                                                                                  
taiyo4701 -> 96 outfits | ⏱ 141.20s | avg 198.09s                                                                                                                 
yuruchi -> 47 outfits | ⏱ 122.09s | avg 185.42s                                                                                                                   
h180rt -> 287 outfits | ⏱ 249.81s | avg 194.62s                                                                                                                   
coba1026 -> 1197 outfits | ⏱ 874.53s | avg 279.61s                                                                                                                
umichuxx -> 553 outfits | ⏱ 262.23s | avg 277.68s                                                                                                                 
rinaty0416 -> 780 outfits | ⏱ 332.49s | avg 283.16s                                                                                                               
masaking2002 -> 35 outfits | ⏱ 113.92s | avg 267.78s                                                                                                              
itkwear -> 836 outfits | ⏱ 345.68s | avg 274.27s                                                                                                                  
taichi0221 -> 28 outfits | ⏱ 110.45s | avg 261.67s                                                                                                                
Users:  11%|████████████▎                        ❌ download fail: https://images.wear2.jp/coordinate/p3iAbpRX/dIoQ62aA/1692416350_1000.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
nozopon1004 -> 1186 outfits | ⏱ 521.26s | avg 280.21s                                                                                                             
kose08 -> 2298 outfits | ⏱ 1098.57s | avg 334.77s                                                                                                                 
murasakibaru -> 867 outfits | ⏱ 441.84s | avg 341.46s                                                                                                             
ys1017ys -> 45 outfits | ⏱ 129.23s | avg 328.98s                                                                                                                  
okuuka -> 338 outfits | ⏱ 171.96s | avg 320.25s                                                                                                                   
mokamibasket -> 41 outfits | ⏱ 122.99s | avg 309.87s                                                                                                              
riku1046 -> 504 outfits | ⏱ 279.22s | avg 308.34s                                                                                                                 
wearyuuto46 -> 435 outfits | ⏱ 195.99s | avg 302.99s                                                                                                              
Users:  18%|███████████████████▌                   ❌ download fail: https://images.wear2.jp/coordinate/Mni73lOw/HhiBdnev/1676617132_1000.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Max retries exceeded with url: /coordinate/Mni73lOw/HhiBdnev/1676617132_1000.jpg (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1007)')))
sensenakajima -> 949 outfits | ⏱ 471.02s | avg 310.63s                                                                                                            
rintaro72 -> 45 outfits | ⏱ 20.87s | avg 298.03s                                                                                                                  
nakamuramizuki0702 -> 668 outfits | ⏱ 373.85s | avg 301.19s                                                                                                       
momomopi -> 192 outfits | ⏱ 181.62s | avg 296.40s                                                                                                                 
